年度學期,星期,小時,時間區間,平均功率_kW,星期六基礎功率_kW,扣除基礎後功率_kW
113-2,星期二,17,17:00~18:00,97.04733333333334,15.033846153846152,82.01348717948719
113-2,星期三,7,07:00~08:00,12.69357142857143,10.49923076923077,2.194340659340659
113-2,星期三,8,08:00~09:00,38.09733333333334,16.50769230769231,21.58964102564103
113-2,星期三,9,09:00~10:00,51.42133333333334,15.522307692307692,35.899025641025645
113-2,星期三,10,10:00~11:00,72.18,20.72,51.46000000000001
113-2,星期三,11,11:00~12:00,81.38285714285715,28.74692307692308,52.635934065934066
113-2,星期三,12,12:00~13:00,83.23933333333333,46.06285714285715,37.17647619047619
113-2,星期三,13,13:00~14:00,75.96133333333333,31.21461538461538,44.746717948717944
113-2,星期三,14,14:00~15:00,82.53428571428572,17.031666666666666,65.50261904761905
113-2,星期三,15,15:00~16:00,88.016,15.089166666666666,72.92683333333333
113-2,星期三,16,16:00~17:00,91.10533333333332,19.32076923076923,71.78456410256409
113-2,星期三,17,17:00~18:00,79.042,15.033846153846152,64.00815384615385
113-2,星期四,7,07:00~08:00,11.639333333333337,10.49923076923077,1.1401025641025662
113-2,星期四,8,08:00~09:00,37.14333333333333,16.50769230769231,20.63564102564102
113-2,星期四,9,09:00~10:00,54.48666666666667,15.522307692307692,38.96435897435898
113-2,星期四,10,10:00~11:00,78.062,20.72,57.342
113-2,星期四,11,11:00~12:00,90.71133333333334,28.74692307692308,61.96441025641026
113-2,星期四,12,12:00~13:00,89.37733333333334,46.06285714285715,43.31447619047619
113-2,星期四,13,13:00~14:00,83.05133333333333,31.21461538461538,51.83671794871795
113-2,星期四,14,14:00~15:00,100.068,17.031666666666666,83.03633333333333
113-2,星期四,15,15:00~16:00,97.31799999999998,15.089166666666666,82.22883333333331
113-2,星期四,16,16:00~17:00,97.09333333333332,19.32076923076923,77.77256410256409
113-2,星期四,17,17:00~18:00,83.89066666666668,15.033846153846152,68.85682051282052
113-2,星期五,7,07:00~08:00,12.510714285714286,10.49923076923077,2.0114835164835156
113-2,星期五,8,08:00~09:00,38.05,16.50769230769231,21.542307692307688
113-2,星期五,9,09:00~10:00,56.82071428571429,15.522307692307692,41.2984065934066
113-2,星期五,10,10:00~11:00,64.43928571428572,20.72,43.71928571428572
113-2,星期五,11,11:00~12:00,75.63214285714285,28.74692307692308,46.88521978021977
113-2,星期五,12,12:00~13:00,74.54642857142858,46.06285714285715,28.48357142857143
113-2,星期五,13,13:00~14:00,74.21000000000001,31.21461538461538,42.99538461538462
113-2,星期五,14,14:00~15:00,77.39642857142857,17.031666666666666,60.364761904761906
