年度學期,星期,小時,時間區間,平均功率_kW,星期六基礎功率_kW,扣除基礎後功率_kW
113-2,星期三,10,10:00~11:00,48.653333333333336,24.66,23.993333333333336
113-2,星期三,11,11:00~12:00,63.41,25.245,38.16499999999999
113-2,星期三,12,12:00~13:00,56.9925,25.238,31.7545
113-2,星期三,13,13:00~14:00,41.152,10.185,30.967
113-2,星期三,14,14:00~15:00,38.400000000000006,20.756,17.644000000000005
113-2,星期三,15,15:00~16:00,55.696666666666665,18.98333333333333,36.71333333333334
113-2,星期三,16,16:00~17:00,54.385000000000005,11.06,43.325
113-2,星期三,17,17:00~18:00,50.005,7.233333333333334,42.77166666666667
113-2,星期四,7,07:00~08:00,6.194999999999999,7.742500000000001,-1.5475000000000012
113-2,星期四,8,08:00~09:00,21.768,11.945714285714285,9.822285714285716
113-2,星期四,9,09:00~10:00,47.786,14.524,33.262
113-2,星期四,10,10:00~11:00,49.905,24.66,25.245
113-2,星期四,11,11:00~12:00,66.03333333333335,25.245,40.78833333333334
113-2,星期四,12,12:00~13:00,67.715,25.238,42.477000000000004
113-2,星期四,13,13:00~14:00,52.27,10.185,42.085
113-2,星期四,14,14:00~15:00,50.74,20.756,29.984
113-2,星期四,15,15:00~16:00,50.13666666666666,18.98333333333333,31.153333333333332
113-2,星期四,16,16:00~17:00,45.81999999999999,11.06,34.75999999999999
113-2,星期四,17,17:00~18:00,42.20333333333333,7.233333333333334,34.97
113-2,星期五,7,07:00~08:00,9.905,7.742500000000001,2.1624999999999988
113-2,星期五,8,08:00~09:00,23.22666666666667,11.945714285714285,11.280952380952385
113-2,星期五,9,09:00~10:00,43.526,14.524,29.002000000000002
113-2,星期五,10,10:00~11:00,60.065,24.66,35.405
113-2,星期五,11,11:00~12:00,66.73,25.245,41.485
113-2,星期五,12,12:00~13:00,74.94666666666666,25.238,49.70866666666666
113-2,星期五,13,13:00~14:00,54.2575,10.185,44.0725
113-2,星期五,14,14:00~15:00,51.3425,20.756,30.5865
113-2,星期五,15,15:00~16:00,51.7725,18.98333333333333,32.789166666666674
113-2,星期五,16,16:00~17:00,34.75666666666667,11.06,23.696666666666665
113-2,星期五,17,17:00~18:00,19.49,7.233333333333334,12.256666666666664
114-1,星期一,7,07:00~08:00,7.524000000000001,6.594545454545455,0.9294545454545462
114-1,星期一,8,08:00~09:00,19.25375,50.982,-31.72825
114-1,星期一,9,09:00~10:00,34.536249999999995,46.91833333333333,-12.382083333333334
114-1,星期一,10,10:00~11:00,43.792,42.24,1.5519999999999996
114-1,星期一,11,11:00~12:00,67.68285714285715,55.012857142857136,12.670000000000009
114-1,星期一,12,12:00~13:00,50.48666666666666,59.64999999999999,-9.163333333333334
114-1,星期一,13,13:00~14:00,57.12555555555556,44.81,12.315555555555555
114-1,星期一,14,14:00~15:00,67.07124999999999,44.866,22.205249999999992
114-1,星期一,15,15:00~16:00,82.005,29.492,52.51299999999999
114-1,星期一,16,16:00~17:00,76.46375,29.18142857142857,47.282321428571436
114-1,星期一,17,17:00~18:00,89.67428571428572,32.85857142857143,56.815714285714286
114-1,星期二,7,07:00~08:00,9.48846153846154,6.594545454545455,2.8939160839160847
114-1,星期二,8,08:00~09:00,23.50428571428571,50.982,-27.47771428571429
114-1,星期二,9,09:00~10:00,36.91375000000001,46.91833333333333,-10.004583333333322
114-1,星期二,10,10:00~11:00,47.63999999999999,42.24,5.3999999999999915
114-1,星期二,11,11:00~12:00,68.18166666666667,55.012857142857136,13.168809523809536
114-1,星期二,12,12:00~13:00,51.565,59.64999999999999,-8.084999999999994
114-1,星期二,13,13:00~14:00,68.00999999999999,44.81,23.19999999999999
114-1,星期二,14,14:00~15:00,61.26833333333334,44.866,16.40233333333334
114-1,星期二,15,15:00~16:00,65.11,29.492,35.617999999999995
114-1,星期二,16,16:00~17:00,66.15,29.18142857142857,36.96857142857144
114-1,星期二,17,17:00~18:00,66.56875,32.85857142857143,33.710178571428564
114-1,星期三,7,07:00~08:00,9.92,6.594545454545455,3.325454545454545
114-1,星期三,8,08:00~09:00,22.786250000000003,50.982,-28.195749999999997
114-1,星期三,9,09:00~10:00,55.39,46.91833333333333,8.471666666666671
114-1,星期三,10,10:00~11:00,77.078,42.24,34.838
114-1,星期三,11,11:00~12:00,100.515,55.012857142857136,45.502142857142864
114-1,星期三,12,12:00~13:00,115.118,59.64999999999999,55.468
114-1,星期三,13,13:00~14:00,108.89375,44.81,64.08375
114-1,星期三,14,14:00~15:00,94.9811111111111,44.866,50.115111111111105
114-1,星期三,15,15:00~16:00,122.05142857142856,29.492,92.55942857142855
114-1,星期三,16,16:00~17:00,95.75777777777778,29.18142857142857,66.5763492063492
114-1,星期三,17,17:00~18:00,104.71777777777778,32.85857142857143,71.85920634920635
114-1,星期四,7,07:00~08:00,8.326923076923077,6.594545454545455,1.732377622377622
114-1,星期四,8,08:00~09:00,61.64857142857143,50.982,10.66657142857143
114-1,星期四,9,09:00~10:00,85.018,46.91833333333333,38.09966666666667
114-1,星期四,10,10:00~11:00,132.635,42.24,90.39499999999998
114-1,星期四,11,11:00~12:00,132.5425,55.012857142857136,77.52964285714285
114-1,星期四,12,12:00~13:00,107.13666666666668,59.64999999999999,47.48666666666669
114-1,星期四,13,13:00~14:00,90.69833333333334,44.81,45.888333333333335
114-1,星期四,14,14:00~15:00,94.43833333333332,44.866,49.57233333333332
114-1,星期四,15,15:00~16:00,99.40285714285714,29.492,69.91085714285714
114-1,星期四,16,16:00~17:00,105.89714285714284,29.18142857142857,76.71571428571427
114-1,星期四,17,17:00~18:00,109.16428571428573,32.85857142857143,76.30571428571429
114-1,星期五,7,07:00~08:00,7.639090909090908,6.594545454545455,1.0445454545454531
114-1,星期五,8,08:00~09:00,26.1625,50.982,-24.819499999999998
114-1,星期五,9,09:00~10:00,42.68625,46.91833333333333,-4.232083333333328
114-1,星期五,10,10:00~11:00,79.96000000000001,42.24,37.720000000000006
