年度學期,星期,小時,時間區間,平均功率_kW
114-2,星期二,8,08:00~09:00,27.433333333333334
114-2,星期二,9,09:00~10:00,45.401666666666664
114-2,星期二,10,10:00~11:00,56.488
114-2,星期二,11,11:00~12:00,59.968333333333334
114-2,星期二,12,12:00~13:00,63.99166666666667
114-2,星期二,13,13:00~14:00,62.30166666666668
114-2,星期二,14,14:00~15:00,66.54
114-2,星期二,15,15:00~16:00,62.34
114-2,星期二,16,16:00~17:00,68.73666666666668
114-2,星期二,17,17:00~18:00,37.89666666666667
114-2,星期二,18,18:00~19:00,33.873333333333335
114-2,星期二,19,19:00~20:00,40.971666666666664
114-2,星期二,20,20:00~21:00,36.50666666666667
114-2,星期二,21,21:00~22:00,31.088333333333335
114-2,星期二,22,22:00~23:00,9.391666666666666
114-2,星期二,23,23:00~24:00,10.748333333333333
114-2,星期三,0,00:00~01:00,12.246666666666668
114-2,星期三,1,01:00~02:00,11.608333333333334
114-2,星期三,2,02:00~03:00,12.006666666666668
114-2,星期三,3,03:00~04:00,12.208333333333334
114-2,星期三,4,04:00~05:00,10.993333333333334
114-2,星期三,5,05:00~06:00,11.741666666666667
114-2,星期三,6,06:00~07:00,10.178333333333335
114-2,星期三,7,07:00~08:00,11.125
114-2,星期三,8,08:00~09:00,37.415
114-2,星期三,9,09:00~10:00,50.278333333333336
114-2,星期三,10,10:00~11:00,51.15166666666667
114-2,星期三,11,11:00~12:00,57.25166666666667
114-2,星期三,12,12:00~13:00,58.16166666666667
114-2,星期三,13,13:00~14:00,54.718333333333334
114-2,星期三,14,14:00~15:00,57.67166666666666
114-2,星期三,15,15:00~16:00,57.24000000000001
114-2,星期三,16,16:00~17:00,57.98833333333332
114-2,星期三,17,17:00~18:00,33.27
114-2,星期三,18,18:00~19:00,44.90857142857143
114-2,星期三,19,19:00~20:00,48.29
114-2,星期三,20,20:00~21:00,43.94666666666666
114-2,星期三,21,21:00~22:00,34.72166666666667
114-2,星期三,22,22:00~23:00,9.331428571428571
114-2,星期三,23,23:00~24:00,10.34
114-2,星期四,0,00:00~01:00,11.664285714285713
114-2,星期四,1,01:00~02:00,13.205714285714285
114-2,星期四,2,02:00~03:00,12.608571428571429
114-2,星期四,3,03:00~04:00,12.062857142857142
114-2,星期四,4,04:00~05:00,11.210000000000003
114-2,星期四,5,05:00~06:00,11.705
114-2,星期四,6,06:00~07:00,11.072857142857144
114-2,星期四,7,07:00~08:00,10.998571428571427
114-2,星期四,8,08:00~09:00,28.67142857142857
114-2,星期四,9,09:00~10:00,51.41571428571428
114-2,星期四,10,10:00~11:00,54.27166666666667
114-2,星期四,11,11:00~12:00,58.72333333333333
114-2,星期四,12,12:00~13:00,59.81666666666666
114-2,星期四,13,13:00~14:00,55.98166666666666
114-2,星期四,14,14:00~15:00,64.41000000000001
114-2,星期四,15,15:00~16:00,59.51500000000001
114-2,星期四,16,16:00~17:00,73.46714285714286
114-2,星期四,17,17:00~18:00,36.92166666666666
114-2,星期四,18,18:00~19:00,28.338333333333335
114-2,星期四,19,19:00~20:00,45.027142857142856
114-2,星期四,20,20:00~21:00,39.19571428571429
114-2,星期四,21,21:00~22:00,31.07857142857143
114-2,星期四,22,22:00~23:00,9.413333333333334
114-2,星期四,23,23:00~24:00,9.842857142857143
114-2,星期五,0,00:00~01:00,10.725000000000001
114-2,星期五,1,01:00~02:00,11.154285714285715
114-2,星期五,2,02:00~03:00,11.297142857142857
114-2,星期五,3,03:00~04:00,11.282857142857143
114-2,星期五,4,04:00~05:00,10.90142857142857
114-2,星期五,5,05:00~06:00,11.845714285714289
114-2,星期五,6,06:00~07:00,10.737142857142857
114-2,星期五,7,07:00~08:00,10.515
114-2,星期五,8,08:00~09:00,36.02714285714286
114-2,星期五,9,09:00~10:00,52.05
114-2,星期五,10,10:00~11:00,58.611428571428576
114-2,星期五,11,11:00~12:00,57.19714285714285
114-2,星期五,12,12:00~13:00,51.78142857142858
114-2,星期五,13,13:00~14:00,45.144285714285715
114-2,星期五,14,14:00~15:00,49.12285714285714
114-2,星期五,15,15:00~16:00,53.68142857142857
114-2,星期五,16,16:00~17:00,48.86285714285714
114-2,星期五,17,17:00~18:00,25.034285714285712
114-2,星期五,18,18:00~19:00,22.912857142857145
114-2,星期五,19,19:00~20:00,23.23428571428571
114-2,星期五,20,20:00~21:00,19.118571428571432
114-2,星期五,21,21:00~22:00,19.111428571428572
114-2,星期五,22,22:00~23:00,9.879999999999999
114-2,星期五,23,23:00~24:00,10.178571428571429
114-2,星期六,0,00:00~01:00,10.182857142857143
114-2,星期六,1,01:00~02:00,10.732857142857142
114-2,星期六,2,02:00~03:00,11.11857142857143
114-2,星期六,3,03:00~04:00,10.64857142857143
114-2,星期六,4,04:00~05:00,11.588571428571429
114-2,星期六,5,05:00~06:00,11.178571428571429
114-2,星期六,6,06:00~07:00,11.215714285714286
114-2,星期六,7,07:00~08:00,10.065714285714288
114-2,星期六,8,08:00~09:00,9.627142857142857
114-2,星期六,9,09:00~10:00,10.578571428571431
114-2,星期六,10,10:00~11:00,10.781666666666666
114-2,星期六,11,11:00~12:00,16.774285714285718
114-2,星期六,12,12:00~13:00,13.773333333333335
114-2,星期六,13,13:00~14:00,10.434000000000001
114-2,星期六,14,14:00~15:00,9.276
114-2,星期六,15,15:00~16:00,9.11
114-2,星期六,16,16:00~17:00,9.2
114-2,星期六,17,17:00~18:00,8.795
114-2,星期六,18,18:00~19:00,9.883333333333335
114-2,星期六,19,19:00~20:00,9.776666666666666
114-2,星期六,20,20:00~21:00,9.781666666666665
114-2,星期六,21,21:00~22:00,9.188333333333334
114-2,星期六,22,22:00~23:00,9.463333333333333
114-2,星期六,23,23:00~24:00,9.923333333333332
114-2,星期日,0,00:00~01:00,10.045
114-2,星期日,1,01:00~02:00,11.18
114-2,星期日,2,02:00~03:00,10.886666666666668
114-2,星期日,3,03:00~04:00,9.437999999999999
114-2,星期日,4,04:00~05:00,10.045
114-2,星期日,5,05:00~06:00,10.295
114-2,星期日,6,06:00~07:00,9.81
114-2,星期日,7,07:00~08:00,9.907999999999998
114-2,星期日,8,08:00~09:00,21.73833333333333
114-2,星期日,9,09:00~10:00,24.491666666666664
114-2,星期日,10,10:00~11:00,36.92166666666666
114-2,星期日,11,11:00~12:00,34.03333333333333
114-2,星期日,12,12:00~13:00,27.67
114-2,星期日,13,13:00~14:00,16.143333333333334
114-2,星期日,14,14:00~15:00,20.856666666666666
114-2,星期日,15,15:00~16:00,24.56833333333333
114-2,星期日,16,16:00~17:00,22.471666666666664
114-2,星期日,17,17:00~18:00,26.406666666666666
114-2,星期日,18,18:00~19:00,19.315
114-2,星期日,19,19:00~20:00,9.506
114-2,星期日,20,20:00~21:00,9.732
114-2,星期日,21,21:00~22:00,11.532
114-2,星期日,22,22:00~23:00,9.558
114-2,星期日,23,23:00~24:00,10.464
