年度學期,星期,小時,時間區間,平均功率_kW
114-2,星期二,11,11:00~12:00,176.46833333333333
114-2,星期二,12,12:00~13:00,172.99666666666667
114-2,星期二,13,13:00~14:00,161.12166666666667
114-2,星期二,14,14:00~15:00,174.8983333333333
114-2,星期二,15,15:00~16:00,178.26333333333332
114-2,星期二,16,16:00~17:00,178.3816666666667
114-2,星期二,17,17:00~18:00,156.86
114-2,星期二,18,18:00~19:00,119.44166666666666
114-2,星期二,19,19:00~20:00,94.50999999999999
114-2,星期二,20,20:00~21:00,82.16666666666667
114-2,星期二,21,21:00~22:00,78.58833333333334
114-2,星期二,22,22:00~23:00,52.97666666666667
114-2,星期二,23,23:00~24:00,45.865
114-2,星期三,0,00:00~01:00,42.638333333333335
114-2,星期三,1,01:00~02:00,42.538333333333334
114-2,星期三,2,02:00~03:00,42.755
114-2,星期三,3,03:00~04:00,39.843333333333334
114-2,星期三,4,04:00~05:00,42.69333333333333
114-2,星期三,5,05:00~06:00,44.6
114-2,星期三,6,06:00~07:00,41.14
114-2,星期三,7,07:00~08:00,48.77166666666667
114-2,星期三,8,08:00~09:00,111.47833333333334
114-2,星期三,9,09:00~10:00,146.40333333333334
114-2,星期三,10,10:00~11:00,165.32
114-2,星期三,11,11:00~12:00,167.13500000000002
114-2,星期三,12,12:00~13:00,170.4316666666667
114-2,星期三,13,13:00~14:00,151.845
114-2,星期三,14,14:00~15:00,173.42
114-2,星期三,15,15:00~16:00,188.89142857142858
114-2,星期三,16,16:00~17:00,172.12166666666667
114-2,星期三,17,17:00~18:00,163.12714285714287
114-2,星期三,18,18:00~19:00,124.01428571428572
114-2,星期三,19,19:00~20:00,96.08571428571429
114-2,星期三,20,20:00~21:00,86.76571428571428
114-2,星期三,21,21:00~22:00,72.61571428571429
114-2,星期三,22,22:00~23:00,53.32285714285715
114-2,星期三,23,23:00~24:00,46.48857142857143
114-2,星期四,0,00:00~01:00,47.040000000000006
114-2,星期四,1,01:00~02:00,45.535714285714285
114-2,星期四,2,02:00~03:00,41.70428571428572
114-2,星期四,3,03:00~04:00,41.05428571428571
114-2,星期四,4,04:00~05:00,40.80714285714286
114-2,星期四,5,05:00~06:00,42.059999999999995
114-2,星期四,6,06:00~07:00,38.701666666666675
114-2,星期四,7,07:00~08:00,48.56142857142857
114-2,星期四,8,08:00~09:00,101.78142857142856
114-2,星期四,9,09:00~10:00,147.84166666666667
114-2,星期四,10,10:00~11:00,184.12285714285716
114-2,星期四,11,11:00~12:00,184.70857142857145
114-2,星期四,12,12:00~13:00,195.93142857142857
114-2,星期四,13,13:00~14:00,159.0533333333333
114-2,星期四,14,14:00~15:00,180.48166666666665
114-2,星期四,15,15:00~16:00,188.21666666666667
114-2,星期四,16,16:00~17:00,181.59333333333333
114-2,星期四,17,17:00~18:00,166.7671428571429
114-2,星期四,18,18:00~19:00,124.28714285714284
114-2,星期四,19,19:00~20:00,89.63571428571429
114-2,星期四,20,20:00~21:00,76.51571428571428
114-2,星期四,21,21:00~22:00,67.79142857142857
114-2,星期四,22,22:00~23:00,51.745000000000005
114-2,星期四,23,23:00~24:00,46.50428571428571
114-2,星期五,0,00:00~01:00,42.66857142857143
114-2,星期五,1,01:00~02:00,41.16571428571429
114-2,星期五,2,02:00~03:00,41.47571428571429
114-2,星期五,3,03:00~04:00,42.058571428571426
114-2,星期五,4,04:00~05:00,41.589999999999996
114-2,星期五,5,05:00~06:00,41.675714285714285
114-2,星期五,6,06:00~07:00,42.52333333333333
114-2,星期五,7,07:00~08:00,47.38999999999999
114-2,星期五,8,08:00~09:00,84.58285714285714
114-2,星期五,9,09:00~10:00,110.34428571428569
114-2,星期五,10,10:00~11:00,130.47857142857143
114-2,星期五,11,11:00~12:00,136.70857142857145
114-2,星期五,12,12:00~13:00,128.07285714285715
114-2,星期五,13,13:00~14:00,110.1957142857143
114-2,星期五,14,14:00~15:00,134.73857142857145
114-2,星期五,15,15:00~16:00,140.44857142857146
114-2,星期五,16,16:00~17:00,135.70857142857145
114-2,星期五,17,17:00~18:00,120.26714285714286
114-2,星期五,18,18:00~19:00,92.08285714285714
114-2,星期五,19,19:00~20:00,68.20714285714287
114-2,星期五,20,20:00~21:00,65.98714285714286
114-2,星期五,21,21:00~22:00,61.64714285714286
114-2,星期五,22,22:00~23:00,50.81142857142857
114-2,星期五,23,23:00~24:00,43.74428571428571
114-2,星期六,0,00:00~01:00,43.410000000000004
114-2,星期六,1,01:00~02:00,39.30285714285714
114-2,星期六,2,02:00~03:00,40.31428571428571
114-2,星期六,3,03:00~04:00,39.27571428571429
114-2,星期六,4,04:00~05:00,41.38
114-2,星期六,5,05:00~06:00,41.941428571428574
114-2,星期六,6,06:00~07:00,40.222857142857144
114-2,星期六,7,07:00~08:00,42.76
114-2,星期六,8,08:00~09:00,92.93571428571428
114-2,星期六,9,09:00~10:00,95.98428571428573
114-2,星期六,10,10:00~11:00,101.73142857142857
114-2,星期六,11,11:00~12:00,89.38857142857144
114-2,星期六,12,12:00~13:00,93.08833333333332
114-2,星期六,13,13:00~14:00,85.04166666666667
114-2,星期六,14,14:00~15:00,95.50666666666666
114-2,星期六,15,15:00~16:00,94.70166666666667
114-2,星期六,16,16:00~17:00,80.98166666666667
114-2,星期六,17,17:00~18:00,86.74000000000001
114-2,星期六,18,18:00~19:00,74.06833333333333
114-2,星期六,19,19:00~20:00,56.02
114-2,星期六,20,20:00~21:00,53.31166666666667
114-2,星期六,21,21:00~22:00,48.95166666666666
114-2,星期六,22,22:00~23:00,45.995000000000005
114-2,星期六,23,23:00~24:00,42.815
114-2,星期日,0,00:00~01:00,42.94833333333333
114-2,星期日,1,01:00~02:00,41.598333333333336
114-2,星期日,2,02:00~03:00,40.31333333333333
114-2,星期日,3,03:00~04:00,40.38
114-2,星期日,4,04:00~05:00,40.58
114-2,星期日,5,05:00~06:00,39.55
114-2,星期日,6,06:00~07:00,41.321666666666665
114-2,星期日,7,07:00~08:00,41.51666666666666
114-2,星期日,8,08:00~09:00,74.54833333333333
114-2,星期日,9,09:00~10:00,67.57666666666667
114-2,星期日,10,10:00~11:00,70.98666666666666
114-2,星期日,11,11:00~12:00,73.67833333333333
114-2,星期日,12,12:00~13:00,75.94166666666666
114-2,星期日,13,13:00~14:00,66.33999999999999
114-2,星期日,14,14:00~15:00,69.83999999999999
114-2,星期日,15,15:00~16:00,72.895
114-2,星期日,16,16:00~17:00,74.66166666666668
114-2,星期日,17,17:00~18:00,69.13333333333334
114-2,星期日,18,18:00~19:00,64.635
114-2,星期日,19,19:00~20:00,57.80333333333334
114-2,星期日,20,20:00~21:00,46.76200000000001
114-2,星期日,21,21:00~22:00,46.239999999999995
114-2,星期日,22,22:00~23:00,48.10999999999999
114-2,星期日,23,23:00~24:00,41.931666666666665
