年度學期,星期,小時,時間區間,平均功率_kW
113-1,星期六,3,03:00~04:00,30.88416666666667
113-1,星期六,4,04:00~05:00,30.174166666666668
113-1,星期六,5,05:00~06:00,29.901818181818182
113-1,星期六,6,06:00~07:00,28.90363636363636
113-1,星期六,7,07:00~08:00,29.075454545454544
113-1,星期六,8,08:00~09:00,85.79166666666669
113-1,星期六,9,09:00~10:00,78.32249999999999
113-1,星期六,10,10:00~11:00,79.26333333333332
113-1,星期六,11,11:00~12:00,72.10181818181819
113-1,星期六,12,12:00~13:00,78.89999999999999
113-1,星期六,13,13:00~14:00,77.20833333333333
113-1,星期六,14,14:00~15:00,78.80416666666667
113-1,星期六,15,15:00~16:00,77.96916666666665
113-1,星期六,16,16:00~17:00,78.36833333333335
113-1,星期六,17,17:00~18:00,73.9175
113-1,星期六,18,18:00~19:00,31.08090909090909
113-1,星期六,19,19:00~20:00,29.298333333333332
113-1,星期六,20,20:00~21:00,29.87833333333333
113-1,星期六,21,21:00~22:00,30.57166666666667
113-1,星期六,22,22:00~23:00,29.34363636363636
113-1,星期六,23,23:00~24:00,31.64
113-1,星期日,0,00:00~01:00,29.404166666666672
113-1,星期日,1,01:00~02:00,28.965454545454545
113-1,星期日,2,02:00~03:00,29.557272727272732
113-1,星期日,3,03:00~04:00,30.122727272727275
113-1,星期日,4,04:00~05:00,29.54818181818182
113-1,星期日,5,05:00~06:00,29.11818181818182
113-1,星期日,6,06:00~07:00,28.822727272727274
113-1,星期日,7,07:00~08:00,30.379090909090905
113-1,星期日,8,08:00~09:00,44.27583333333333
113-1,星期日,9,09:00~10:00,42.90272727272727
113-1,星期日,10,10:00~11:00,47.58166666666667
113-1,星期日,11,11:00~12:00,45.79
113-1,星期日,12,12:00~13:00,45.80083333333334
113-1,星期日,13,13:00~14:00,41.82
113-1,星期日,14,14:00~15:00,41.4925
113-1,星期日,15,15:00~16:00,43.234166666666674
113-1,星期日,16,16:00~17:00,43.69750000000001
113-1,星期日,17,17:00~18:00,32.196363636363635
113-1,星期日,18,18:00~19:00,30.863636363636363
113-1,星期日,19,19:00~20:00,30.299090909090907
113-1,星期日,20,20:00~21:00,30.99636363636364
113-1,星期日,21,21:00~22:00,31.487272727272735
113-1,星期日,22,22:00~23:00,29.849090909090908
113-1,星期日,23,23:00~24:00,31.13818181818182
113-2,星期一,0,00:00~01:00,30.529999999999994
113-2,星期一,1,01:00~02:00,30.191428571428577
113-2,星期一,2,02:00~03:00,30.09357142857143
113-2,星期一,3,03:00~04:00,30.029285714285713
113-2,星期一,4,04:00~05:00,31.54357142857143
113-2,星期一,5,05:00~06:00,30.740000000000002
113-2,星期一,6,06:00~07:00,33.839285714285715
113-2,星期一,7,07:00~08:00,33.519333333333336
113-2,星期一,8,08:00~09:00,43.825714285714284
113-2,星期一,9,09:00~10:00,83.532
113-2,星期一,10,10:00~11:00,95.35533333333336
113-2,星期一,11,11:00~12:00,106.09400000000001
113-2,星期一,12,12:00~13:00,103.84266666666667
113-2,星期一,13,13:00~14:00,102.82066666666667
113-2,星期一,14,14:00~15:00,101.75857142857144
113-2,星期一,15,15:00~16:00,107.92599999999999
113-2,星期一,16,16:00~17:00,103.08214285714284
113-2,星期一,17,17:00~18:00,94.62533333333333
113-2,星期一,18,18:00~19:00,72.238
113-2,星期一,19,19:00~20:00,36.625714285714295
113-2,星期一,20,20:00~21:00,31.82071428571428
113-2,星期一,21,21:00~22:00,31.964666666666666
113-2,星期一,22,22:00~23:00,32.76785714285714
113-2,星期一,23,23:00~24:00,32.42857142857142
113-2,星期二,0,00:00~01:00,30.91571428571428
113-2,星期二,1,01:00~02:00,29.639999999999997
113-2,星期二,2,02:00~03:00,29.876666666666665
113-2,星期二,3,03:00~04:00,29.741999999999997
113-2,星期二,4,04:00~05:00,31.70333333333333
113-2,星期二,5,05:00~06:00,30.771999999999995
113-2,星期二,6,06:00~07:00,34.165
113-2,星期二,7,07:00~08:00,35.84214285714286
113-2,星期二,8,08:00~09:00,53.653846153846146
113-2,星期二,9,09:00~10:00,93.93857142857142
113-2,星期二,10,10:00~11:00,104.68571428571428
113-2,星期二,11,11:00~12:00,118.56285714285714
113-2,星期二,12,12:00~13:00,127.17933333333333
113-2,星期二,13,13:00~14:00,128.152
113-2,星期二,14,14:00~15:00,142.10466666666667
113-2,星期二,15,15:00~16:00,138.81533333333334
113-2,星期二,16,16:00~17:00,128.42133333333334
113-2,星期二,17,17:00~18:00,113.94599999999998
113-2,星期二,18,18:00~19:00,89.30499999999999
113-2,星期二,19,19:00~20:00,42.22642857142858
113-2,星期二,20,20:00~21:00,34.085714285714275
113-2,星期二,21,21:00~22:00,31.919999999999995
113-2,星期二,22,22:00~23:00,31.308000000000003
113-2,星期二,23,23:00~24:00,30.679230769230767
113-2,星期三,0,00:00~01:00,30.77785714285714
113-2,星期三,1,01:00~02:00,30.860666666666663
113-2,星期三,2,02:00~03:00,30.094666666666665
113-2,星期三,3,03:00~04:00,30.134666666666664
113-2,星期三,4,04:00~05:00,30.875
113-2,星期三,5,05:00~06:00,30.637857142857143
113-2,星期三,6,06:00~07:00,33.66466666666667
113-2,星期三,7,07:00~08:00,33.81285714285715
113-2,星期三,8,08:00~09:00,55.28928571428572
113-2,星期三,9,09:00~10:00,98.9707142857143
113-2,星期三,10,10:00~11:00,114.34214285714286
113-2,星期三,11,11:00~12:00,116.65071428571427
