年度學期,星期,小時,時間區間,平均功率_kW
114-2,星期三,10,10:00~11:00,70.905
114-2,星期三,11,11:00~12:00,72.225
114-2,星期三,12,12:00~13:00,64.275
114-2,星期三,13,13:00~14:00,79.73000000000002
114-2,星期三,14,14:00~15:00,55.19
114-2,星期三,15,15:00~16:00,77.644
114-2,星期三,16,16:00~17:00,85.008
114-2,星期三,17,17:00~18:00,67.13666666666667
114-2,星期三,18,18:00~19:00,49.504000000000005
114-2,星期三,19,19:00~20:00,65.38833333333334
114-2,星期三,20,20:00~21:00,48.66
114-2,星期三,21,21:00~22:00,43.35833333333333
114-2,星期三,22,22:00~23:00,12.71
114-2,星期三,23,23:00~24:00,7.2316666666666665
114-2,星期四,0,00:00~01:00,9.341666666666667
114-2,星期四,1,01:00~02:00,7.293333333333333
114-2,星期四,2,02:00~03:00,7.333333333333333
114-2,星期四,3,03:00~04:00,7.259999999999999
114-2,星期四,4,04:00~05:00,7.948333333333333
114-2,星期四,5,05:00~06:00,11.200000000000001
114-2,星期四,6,06:00~07:00,8.865
114-2,星期四,7,07:00~08:00,5.536666666666666
114-2,星期四,8,08:00~09:00,54.593333333333334
114-2,星期四,9,09:00~10:00,83.41499999999999
114-2,星期四,10,10:00~11:00,79.6525
114-2,星期四,11,11:00~12:00,102.15
114-2,星期四,12,12:00~13:00,105.58999999999999
114-2,星期四,13,13:00~14:00,73.1225
114-2,星期四,14,14:00~15:00,85.45
114-2,星期四,15,15:00~16:00,118.52250000000001
114-2,星期四,16,16:00~17:00,104.34400000000001
114-2,星期四,17,17:00~18:00,82.63666666666666
114-2,星期四,18,18:00~19:00,70.34666666666668
114-2,星期四,19,19:00~20:00,62.32166666666666
114-2,星期四,20,20:00~21:00,53.669999999999995
114-2,星期四,21,21:00~22:00,36.723333333333336
114-2,星期四,22,22:00~23:00,11.458333333333334
114-2,星期四,23,23:00~24:00,7.658333333333332
114-2,星期五,0,00:00~01:00,7.388333333333333
114-2,星期五,1,01:00~02:00,8.421666666666667
114-2,星期五,2,02:00~03:00,8.205
114-2,星期五,3,03:00~04:00,7.341666666666666
114-2,星期五,4,04:00~05:00,8.595
114-2,星期五,5,05:00~06:00,11.053333333333333
114-2,星期五,6,06:00~07:00,8.598333333333333
114-2,星期五,7,07:00~08:00,7.626666666666666
114-2,星期五,8,08:00~09:00,22.101999999999997
114-2,星期五,9,09:00~10:00,61.35999999999999
114-2,星期五,10,10:00~11:00,59.69
114-2,星期五,11,11:00~12:00,68.81333333333333
114-2,星期五,12,12:00~13:00,69.42999999999999
114-2,星期五,13,13:00~14:00,54.18
114-2,星期五,14,14:00~15:00,56.92
114-2,星期五,15,15:00~16:00,58.01
114-2,星期五,16,16:00~17:00,64.36333333333333
114-2,星期五,17,17:00~18:00,38.779999999999994
114-2,星期五,18,18:00~19:00,29.666666666666668
114-2,星期五,19,19:00~20:00,14.103333333333333
114-2,星期五,20,20:00~21:00,7.401666666666666
114-2,星期五,21,21:00~22:00,7.3450000000000015
114-2,星期五,22,22:00~23:00,7.781666666666666
114-2,星期五,23,23:00~24:00,7.396666666666667
114-2,星期六,0,00:00~01:00,7.496666666666666
114-2,星期六,1,01:00~02:00,8.191666666666668
114-2,星期六,2,02:00~03:00,8.236666666666666
114-2,星期六,3,03:00~04:00,8.633333333333335
114-2,星期六,4,04:00~05:00,8.403333333333334
114-2,星期六,5,05:00~06:00,11.163333333333332
114-2,星期六,6,06:00~07:00,8.755
114-2,星期六,7,07:00~08:00,9.261666666666668
114-2,星期六,8,08:00~09:00,21.196
114-2,星期六,9,09:00~10:00,16.833333333333332
114-2,星期六,10,10:00~11:00,42.03333333333334
114-2,星期六,11,11:00~12:00,58.245
114-2,星期六,12,12:00~13:00,28.14
114-2,星期六,13,13:00~14:00,78.71
114-2,星期六,14,14:00~15:00,50.68000000000001
114-2,星期六,15,15:00~16:00,78.155
114-2,星期六,16,16:00~17:00,48.7675
114-2,星期六,17,17:00~18:00,14.71
114-2,星期六,18,18:00~19:00,11.450000000000001
114-2,星期六,19,19:00~20:00,7.08
114-2,星期六,20,20:00~21:00,8.693333333333333
114-2,星期六,21,21:00~22:00,8.465
114-2,星期六,22,22:00~23:00,7.935
114-2,星期六,23,23:00~24:00,6.723333333333334
114-2,星期日,0,00:00~01:00,7.688333333333333
114-2,星期日,1,01:00~02:00,7.991666666666667
114-2,星期日,2,02:00~03:00,7.986
114-2,星期日,3,03:00~04:00,7.516666666666667
114-2,星期日,4,04:00~05:00,8.298333333333334
114-2,星期日,5,05:00~06:00,11.583333333333334
114-2,星期日,6,06:00~07:00,8.688333333333333
114-2,星期日,7,07:00~08:00,7.1240000000000006
114-2,星期日,8,08:00~09:00,49.39666666666667
114-2,星期日,9,09:00~10:00,80.21
114-2,星期日,10,10:00~11:00,109.735
114-2,星期日,11,11:00~12:00,94.545
114-2,星期日,12,12:00~13:00,44.18
114-2,星期日,13,13:00~14:00,7.95
114-2,星期日,14,14:00~15:00,2.8
114-2,星期日,15,15:00~16:00,2.605
114-2,星期日,16,16:00~17:00,5.202500000000001
114-2,星期日,17,17:00~18:00,6.743333333333333
114-2,星期日,18,18:00~19:00,9.741666666666667
114-2,星期日,19,19:00~20:00,7.458333333333335
114-2,星期日,20,20:00~21:00,7.94
114-2,星期日,21,21:00~22:00,6.12
114-2,星期日,22,22:00~23:00,8.226666666666667
114-2,星期日,23,23:00~24:00,6.938333333333333
