年度學期,星期,小時,時間區間,平均功率_kW
113-1,星期六,3,03:00~04:00,15.722307692307693
113-1,星期六,4,04:00~05:00,11.92923076923077
113-1,星期六,5,05:00~06:00,12.260769230769231
113-1,星期六,6,06:00~07:00,13.496153846153845
113-1,星期六,7,07:00~08:00,25.56500000000001
113-1,星期六,8,08:00~09:00,76.12666666666668
113-1,星期六,9,09:00~10:00,79.86090909090909
113-1,星期六,10,10:00~11:00,82.561
113-1,星期六,11,11:00~12:00,105.4
113-1,星期六,12,12:00~13:00,88.69818181818181
113-1,星期六,13,13:00~14:00,79.251
113-1,星期六,14,14:00~15:00,68.75090909090908
113-1,星期六,15,15:00~16:00,70.14750000000002
113-1,星期六,16,16:00~17:00,64.13214285714285
113-1,星期六,17,17:00~18:00,17.790769230769232
113-1,星期六,18,18:00~19:00,11.323846153846155
113-1,星期六,19,19:00~20:00,10.666923076923078
113-1,星期六,20,20:00~21:00,10.823076923076922
113-1,星期六,21,21:00~22:00,10.397692307692306
113-1,星期六,22,22:00~23:00,10.205384615384615
113-1,星期六,23,23:00~24:00,9.893076923076924
113-1,星期日,0,00:00~01:00,9.753076923076923
113-1,星期日,1,01:00~02:00,9.960769230769232
113-1,星期日,2,02:00~03:00,10.54769230769231
113-1,星期日,3,03:00~04:00,15.379230769230768
113-1,星期日,4,04:00~05:00,11.36923076923077
113-1,星期日,5,05:00~06:00,11.085384615384616
113-1,星期日,6,06:00~07:00,12.346923076923078
113-1,星期日,7,07:00~08:00,35.9923076923077
113-1,星期日,8,08:00~09:00,84.45833333333333
113-1,星期日,9,09:00~10:00,104.89555555555556
113-1,星期日,10,10:00~11:00,151.16285714285715
113-1,星期日,11,11:00~12:00,110.31875
113-1,星期日,12,12:00~13:00,88.67222222222222
113-1,星期日,13,13:00~14:00,11.832
113-1,星期日,14,14:00~15:00,15.214285714285714
113-1,星期日,15,15:00~16:00,14.69
113-1,星期日,16,16:00~17:00,15.146666666666667
113-1,星期日,17,17:00~18:00,16.204615384615387
113-1,星期日,18,18:00~19:00,11.253846153846155
113-1,星期日,19,19:00~20:00,10.757692307692308
113-1,星期日,20,20:00~21:00,10.052307692307691
113-1,星期日,21,21:00~22:00,10.072307692307692
113-1,星期日,22,22:00~23:00,9.78076923076923
113-1,星期日,23,23:00~24:00,10.156153846153845
113-2,星期一,0,00:00~01:00,11.013333333333334
113-2,星期一,1,01:00~02:00,12.143333333333333
113-2,星期一,2,02:00~03:00,11.416666666666666
113-2,星期一,3,03:00~04:00,13.6
113-2,星期一,4,04:00~05:00,14.003333333333336
113-2,星期一,5,05:00~06:00,14.413333333333334
113-2,星期一,6,06:00~07:00,17.1125
113-2,星期一,7,07:00~08:00,9.15
113-2,星期一,8,08:00~09:00,27.034285714285716
113-2,星期一,9,09:00~10:00,50.425714285714285
113-2,星期一,10,10:00~11:00,74.21333333333332
113-2,星期一,11,11:00~12:00,55.70666666666667
113-2,星期一,12,12:00~13:00,53.28666666666667
113-2,星期一,13,13:00~14:00,41.894999999999996
113-2,星期一,14,14:00~15:00,43.45666666666667
113-2,星期一,15,15:00~16:00,54.99
113-2,星期一,16,16:00~17:00,55.02
113-2,星期一,17,17:00~18:00,60.97666666666667
113-2,星期一,18,18:00~19:00,61.89000000000001
113-2,星期一,19,19:00~20:00,61.04666666666666
113-2,星期一,20,20:00~21:00,49.00333333333333
113-2,星期一,21,21:00~22:00,34.25
113-2,星期一,22,22:00~23:00,9.133333333333333
113-2,星期一,23,23:00~24:00,8.743333333333334
113-2,星期二,0,00:00~01:00,8.049999999999999
113-2,星期二,1,01:00~02:00,8.923333333333332
113-2,星期二,2,02:00~03:00,9.77
113-2,星期二,3,03:00~04:00,8.823333333333332
113-2,星期二,4,04:00~05:00,9.423333333333334
113-2,星期二,5,05:00~06:00,11.406666666666666
113-2,星期二,6,06:00~07:00,10.75
113-2,星期二,7,07:00~08:00,10.008000000000001
113-2,星期二,8,08:00~09:00,32.678
113-2,星期二,9,09:00~10:00,52.120000000000005
113-2,星期二,10,10:00~11:00,60.629999999999995
113-2,星期二,11,11:00~12:00,59.898
113-2,星期二,12,12:00~13:00,57.955
113-2,星期二,13,13:00~14:00,61.333333333333336
113-2,星期二,14,14:00~15:00,69.315
113-2,星期二,15,15:00~16:00,72.42
113-2,星期二,16,16:00~17:00,51.06333333333333
113-2,星期二,17,17:00~18:00,51.196666666666665
113-2,星期二,18,18:00~19:00,49.32
113-2,星期二,19,19:00~20:00,42.0
113-2,星期二,20,20:00~21:00,35.39
113-2,星期二,21,21:00~22:00,25.955000000000002
113-2,星期二,22,22:00~23:00,9.875
113-2,星期二,23,23:00~24:00,8.61
113-2,星期三,0,00:00~01:00,8.0
113-2,星期三,1,01:00~02:00,8.24
113-2,星期三,2,02:00~03:00,9.905
113-2,星期三,3,03:00~04:00,11.274999999999999
113-2,星期三,4,04:00~05:00,9.635
113-2,星期三,5,05:00~06:00,10.725000000000001
113-2,星期三,6,06:00~07:00,11.7
113-2,星期三,7,07:00~08:00,11.27375
113-2,星期三,8,08:00~09:00,35.946666666666665
113-2,星期三,9,09:00~10:00,40.721999999999994
113-2,星期三,10,10:00~11:00,48.653333333333336
113-2,星期三,11,11:00~12:00,63.410000000000004
113-2,星期三,12,12:00~13:00,56.9925
113-2,星期三,13,13:00~14:00,41.152
113-2,星期三,14,14:00~15:00,38.400000000000006
113-2,星期三,15,15:00~16:00,55.696666666666665
113-2,星期三,16,16:00~17:00,54.385000000000005
113-2,星期三,17,17:00~18:00,50.004999999999995
113-2,星期三,18,18:00~19:00,42.615
113-2,星期三,19,19:00~20:00,49.040000000000006
113-2,星期三,20,20:00~21:00,38.385
113-2,星期三,21,21:00~22:00,27.740000000000002
113-2,星期三,22,22:00~23:00,8.885
113-2,星期三,23,23:00~24:00,7.91
113-2,星期四,0,00:00~01:00,8.920000000000002
113-2,星期四,1,01:00~02:00,8.555
113-2,星期四,2,02:00~03:00,8.305
113-2,星期四,3,03:00~04:00,9.545
113-2,星期四,4,04:00~05:00,11.645
113-2,星期四,5,05:00~06:00,11.51
113-2,星期四,6,06:00~07:00,11.155000000000001
113-2,星期四,7,07:00~08:00,6.194999999999999
113-2,星期四,8,08:00~09:00,21.768
113-2,星期四,9,09:00~10:00,47.786
113-2,星期四,10,10:00~11:00,49.905
113-2,星期四,11,11:00~12:00,66.03333333333335
113-2,星期四,12,12:00~13:00,67.715
113-2,星期四,13,13:00~14:00,52.27
113-2,星期四,14,14:00~15:00,50.74
113-2,星期四,15,15:00~16:00,50.13666666666666
113-2,星期四,16,16:00~17:00,45.81999999999999
113-2,星期四,17,17:00~18:00,42.20333333333333
113-2,星期四,18,18:00~19:00,48.465
113-2,星期四,19,19:00~20:00,43.93
113-2,星期四,20,20:00~21:00,27.93
113-2,星期四,21,21:00~22:00,21.880000000000003
113-2,星期四,22,22:00~23:00,9.68
113-2,星期四,23,23:00~24:00,10.545
113-2,星期五,0,00:00~01:00,8.5
113-2,星期五,1,01:00~02:00,9.73
113-2,星期五,2,02:00~03:00,9.04
113-2,星期五,3,03:00~04:00,9.555
113-2,星期五,4,04:00~05:00,12.600000000000001
113-2,星期五,5,05:00~06:00,12.925
113-2,星期五,6,06:00~07:00,10.985
113-2,星期五,7,07:00~08:00,9.905000000000001
113-2,星期五,8,08:00~09:00,23.22666666666667
113-2,星期五,9,09:00~10:00,43.525999999999996
113-2,星期五,10,10:00~11:00,60.065
113-2,星期五,11,11:00~12:00,66.73
113-2,星期五,12,12:00~13:00,74.94666666666666
113-2,星期五,13,13:00~14:00,54.2575
113-2,星期五,14,14:00~15:00,51.3425
113-2,星期五,15,15:00~16:00,51.7725
113-2,星期五,16,16:00~17:00,34.75666666666667
113-2,星期五,17,17:00~18:00,19.490000000000002
113-2,星期五,18,18:00~19:00,14.094999999999999
113-2,星期五,19,19:00~20:00,9.86
113-2,星期五,20,20:00~21:00,7.775
113-2,星期五,21,21:00~22:00,8.895
113-2,星期五,22,22:00~23:00,11.17
113-2,星期五,23,23:00~24:00,10.165
113-2,星期六,0,00:00~01:00,8.665
113-2,星期六,1,01:00~02:00,8.774999999999999
113-2,星期六,2,02:00~03:00,10.565
113-2,星期六,3,03:00~04:00,10.135000000000002
113-2,星期六,4,04:00~05:00,11.165
113-2,星期六,5,05:00~06:00,11.075
113-2,星期六,6,06:00~07:00,10.705
113-2,星期六,7,07:00~08:00,7.742500000000001
113-2,星期六,8,08:00~09:00,11.945714285714285
113-2,星期六,9,09:00~10:00,14.524000000000001
113-2,星期六,10,10:00~11:00,24.66
113-2,星期六,11,11:00~12:00,25.245
113-2,星期六,12,12:00~13:00,25.238
113-2,星期六,13,13:00~14:00,10.184999999999999
113-2,星期六,14,14:00~15:00,20.756
113-2,星期六,15,15:00~16:00,18.98333333333333
113-2,星期六,16,16:00~17:00,11.06
113-2,星期六,17,17:00~18:00,7.233333333333334
113-2,星期六,18,18:00~19:00,10.45
113-2,星期六,19,19:00~20:00,8.06
113-2,星期六,20,20:00~21:00,8.56
113-2,星期六,21,21:00~22:00,8.445
113-2,星期六,22,22:00~23:00,8.54
113-2,星期六,23,23:00~24:00,9.82
113-2,星期日,0,00:00~01:00,10.11
113-2,星期日,1,01:00~02:00,8.48
113-2,星期日,2,02:00~03:00,9.219999999999999
113-2,星期日,3,03:00~04:00,9.83
113-2,星期日,4,04:00~05:00,10.625
113-2,星期日,5,05:00~06:00,11.21
113-2,星期日,6,06:00~07:00,9.17
113-2,星期日,7,07:00~08:00,9.322500000000002
113-2,星期日,8,08:00~09:00,23.566666666666666
113-2,星期日,9,09:00~10:00,27.942499999999995
113-2,星期日,10,10:00~11:00,29.15
113-2,星期日,11,11:00~12:00,26.322000000000003
113-2,星期日,12,12:00~13:00,25.33
113-2,星期日,13,13:00~14:00,31.82
113-2,星期日,14,14:00~15:00,34.63
113-2,星期日,15,15:00~16:00,19.87
113-2,星期日,16,16:00~17:00,13.2
113-2,星期日,17,17:00~18:00,6.2940000000000005
113-2,星期日,18,18:00~19:00,11.77
113-2,星期日,19,19:00~20:00,10.535
113-2,星期日,20,20:00~21:00,9.58
113-2,星期日,21,21:00~22:00,8.435
113-2,星期日,22,22:00~23:00,9.765
113-2,星期日,23,23:00~24:00,9.23
114-1,星期一,0,00:00~01:00,6.801428571428572
114-1,星期一,1,01:00~02:00,7.264285714285713
114-1,星期一,2,02:00~03:00,7.1485714285714295
114-1,星期一,3,03:00~04:00,7.609999999999999
114-1,星期一,4,04:00~05:00,7.607142857142857
114-1,星期一,5,05:00~06:00,7.515714285714286
114-1,星期一,6,06:00~07:00,10.639999999999999
114-1,星期一,7,07:00~08:00,7.524000000000001
114-1,星期一,8,08:00~09:00,19.25375
114-1,星期一,9,09:00~10:00,34.536249999999995
114-1,星期一,10,10:00~11:00,43.792
114-1,星期一,11,11:00~12:00,67.68285714285715
114-1,星期一,12,12:00~13:00,50.48666666666666
114-1,星期一,13,13:00~14:00,57.12555555555556
114-1,星期一,14,14:00~15:00,67.07124999999999
114-1,星期一,15,15:00~16:00,82.005
114-1,星期一,16,16:00~17:00,76.46375
114-1,星期一,17,17:00~18:00,89.67428571428572
114-1,星期一,18,18:00~19:00,55.395
114-1,星期一,19,19:00~20:00,63.07571428571429
114-1,星期一,20,20:00~21:00,58.122857142857136
114-1,星期一,21,21:00~22:00,43.06285714285714
114-1,星期一,22,22:00~23:00,9.125555555555556
114-1,星期一,23,23:00~24:00,7.2188888888888885
114-1,星期二,0,00:00~01:00,6.643750000000001
114-1,星期二,1,01:00~02:00,7.322222222222221
114-1,星期二,2,02:00~03:00,7.072222222222223
114-1,星期二,3,03:00~04:00,6.546250000000001
114-1,星期二,4,04:00~05:00,5.885
114-1,星期二,5,05:00~06:00,7.611111111111111
114-1,星期二,6,06:00~07:00,8.58625
114-1,星期二,7,07:00~08:00,9.48846153846154
114-1,星期二,8,08:00~09:00,23.50428571428571
114-1,星期二,9,09:00~10:00,36.91375000000001
114-1,星期二,10,10:00~11:00,47.63999999999999
114-1,星期二,11,11:00~12:00,68.18166666666667
114-1,星期二,12,12:00~13:00,51.565
114-1,星期二,13,13:00~14:00,68.00999999999999
114-1,星期二,14,14:00~15:00,61.26833333333334
114-1,星期二,15,15:00~16:00,65.11
114-1,星期二,16,16:00~17:00,66.15
114-1,星期二,17,17:00~18:00,66.56875
114-1,星期二,18,18:00~19:00,61.23375
114-1,星期二,19,19:00~20:00,57.19428571428572
114-1,星期二,20,20:00~21:00,52.521428571428565
114-1,星期二,21,21:00~22:00,43.64142857142857
114-1,星期二,22,22:00~23:00,9.9675
114-1,星期二,23,23:00~24:00,7.75875
114-1,星期三,0,00:00~01:00,7.428749999999999
114-1,星期三,1,01:00~02:00,8.15375
114-1,星期三,2,02:00~03:00,7.387499999999999
114-1,星期三,3,03:00~04:00,6.543749999999999
114-1,星期三,4,04:00~05:00,7.6075
114-1,星期三,5,05:00~06:00,7.27375
114-1,星期三,6,06:00~07:00,9.36375
114-1,星期三,7,07:00~08:00,9.92
114-1,星期三,8,08:00~09:00,22.786250000000003
114-1,星期三,9,09:00~10:00,55.39
114-1,星期三,10,10:00~11:00,77.078
114-1,星期三,11,11:00~12:00,100.515
114-1,星期三,12,12:00~13:00,115.11800000000001
114-1,星期三,13,13:00~14:00,108.89375
114-1,星期三,14,14:00~15:00,94.9811111111111
114-1,星期三,15,15:00~16:00,122.05142857142857
114-1,星期三,16,16:00~17:00,95.75777777777778
114-1,星期三,17,17:00~18:00,104.71777777777778
114-1,星期三,18,18:00~19:00,55.43142857142857
114-1,星期三,19,19:00~20:00,61.2525
114-1,星期三,20,20:00~21:00,57.415000000000006
114-1,星期三,21,21:00~22:00,48.37875
114-1,星期三,22,22:00~23:00,15.70625
114-1,星期三,23,23:00~24:00,7.113333333333333
114-1,星期四,0,00:00~01:00,7.061111111111112
114-1,星期四,1,01:00~02:00,8.2825
114-1,星期四,2,02:00~03:00,7.694285714285714
114-1,星期四,3,03:00~04:00,7.38625
114-1,星期四,4,04:00~05:00,8.004999999999999
114-1,星期四,5,05:00~06:00,9.186250000000001
114-1,星期四,6,06:00~07:00,10.047500000000001
114-1,星期四,7,07:00~08:00,8.326923076923077
114-1,星期四,8,08:00~09:00,61.64857142857143
114-1,星期四,9,09:00~10:00,85.018
114-1,星期四,10,10:00~11:00,132.635
114-1,星期四,11,11:00~12:00,132.5425
114-1,星期四,12,12:00~13:00,107.13666666666667
114-1,星期四,13,13:00~14:00,90.69833333333334
114-1,星期四,14,14:00~15:00,94.43833333333333
114-1,星期四,15,15:00~16:00,99.40285714285714
114-1,星期四,16,16:00~17:00,105.89714285714285
114-1,星期四,17,17:00~18:00,109.16428571428573
114-1,星期四,18,18:00~19:00,91.0925
114-1,星期四,19,19:00~20:00,96.55285714285712
114-1,星期四,20,20:00~21:00,79.445
114-1,星期四,21,21:00~22:00,70.50375
114-1,星期四,22,22:00~23:00,11.567499999999999
114-1,星期四,23,23:00~24:00,7.6575
114-1,星期五,0,00:00~01:00,7.75
114-1,星期五,1,01:00~02:00,6.434285714285714
114-1,星期五,2,02:00~03:00,8.25875
114-1,星期五,3,03:00~04:00,7.328749999999999
114-1,星期五,4,04:00~05:00,7.982857142857143
114-1,星期五,5,05:00~06:00,7.592857142857143
114-1,星期五,6,06:00~07:00,10.052857142857144
114-1,星期五,7,07:00~08:00,7.639090909090908
114-1,星期五,8,08:00~09:00,26.1625
114-1,星期五,9,09:00~10:00,42.68625
114-1,星期五,10,10:00~11:00,79.96000000000001
114-1,星期五,11,11:00~12:00,89.7775
114-1,星期五,12,12:00~13:00,91.28142857142858
114-1,星期五,13,13:00~14:00,95.95666666666665
114-1,星期五,14,14:00~15:00,76.26714285714286
114-1,星期五,15,15:00~16:00,85.465
114-1,星期五,16,16:00~17:00,65.298
114-1,星期五,17,17:00~18:00,109.74375
114-1,星期五,18,18:00~19:00,94.3
114-1,星期五,19,19:00~20:00,52.99285714285715
114-1,星期五,20,20:00~21:00,9.045714285714286
114-1,星期五,21,21:00~22:00,7.62
114-1,星期五,22,22:00~23:00,6.368571428571428
114-1,星期五,23,23:00~24:00,7.9037500000000005
114-1,星期六,0,00:00~01:00,7.192857142857142
114-1,星期六,1,01:00~02:00,7.325714285714285
114-1,星期六,2,02:00~03:00,7.032857142857144
114-1,星期六,3,03:00~04:00,7.821428571428571
114-1,星期六,4,04:00~05:00,8.005714285714287
114-1,星期六,5,05:00~06:00,8.411666666666667
114-1,星期六,6,06:00~07:00,8.837142857142858
114-1,星期六,7,07:00~08:00,6.594545454545455
114-1,星期六,8,08:00~09:00,50.982
114-1,星期六,9,09:00~10:00,46.91833333333333
114-1,星期六,10,10:00~11:00,42.239999999999995
114-1,星期六,11,11:00~12:00,55.012857142857136
114-1,星期六,12,12:00~13:00,59.64999999999999
114-1,星期六,13,13:00~14:00,44.81
114-1,星期六,14,14:00~15:00,44.866
114-1,星期六,15,15:00~16:00,29.491999999999997
114-1,星期六,16,16:00~17:00,29.18142857142857
114-1,星期六,17,17:00~18:00,32.85857142857143
114-1,星期六,18,18:00~19:00,29.41428571428571
114-1,星期六,19,19:00~20:00,7.7871428571428565
114-1,星期六,20,20:00~21:00,7.510000000000001
114-1,星期六,21,21:00~22:00,7.208333333333333
114-1,星期六,22,22:00~23:00,7.58
114-1,星期六,23,23:00~24:00,7.472857142857143
114-1,星期日,0,00:00~01:00,7.307142857142858
114-1,星期日,1,01:00~02:00,7.044285714285714
114-1,星期日,2,02:00~03:00,6.685714285714285
114-1,星期日,3,03:00~04:00,7.29
114-1,星期日,4,04:00~05:00,6.5566666666666675
114-1,星期日,5,05:00~06:00,8.802857142857144
114-1,星期日,6,06:00~07:00,8.577142857142857
114-1,星期日,7,07:00~08:00,8.450909090909091
114-1,星期日,8,08:00~09:00,48.01888888888888
114-1,星期日,9,09:00~10:00,47.962222222222216
114-1,星期日,10,10:00~11:00,56.378888888888895
114-1,星期日,11,11:00~12:00,57.963
114-1,星期日,12,12:00~13:00,65.30199999999999
114-1,星期日,13,13:00~14:00,35.30555555555556
114-1,星期日,14,14:00~15:00,42.848
114-1,星期日,15,15:00~16:00,41.08428571428572
114-1,星期日,16,16:00~17:00,31.7075
114-1,星期日,17,17:00~18:00,16.105
114-1,星期日,18,18:00~19:00,7.0200000000000005
114-1,星期日,19,19:00~20:00,7.6433333333333335
114-1,星期日,20,20:00~21:00,7.568571428571429
114-1,星期日,21,21:00~22:00,6.752857142857143
114-1,星期日,22,22:00~23:00,7.185714285714285
114-1,星期日,23,23:00~24:00,7.567142857142857
114-2,星期一,0,00:00~01:00,6.691666666666666
114-2,星期一,1,01:00~02:00,7.1499999999999995
114-2,星期一,2,02:00~03:00,7.868571428571429
114-2,星期一,3,03:00~04:00,7.1049999999999995
114-2,星期一,4,04:00~05:00,8.317142857142857
114-2,星期一,5,05:00~06:00,12.192857142857141
114-2,星期一,6,06:00~07:00,12.02142857142857
114-2,星期一,7,07:00~08:00,6.095
114-2,星期一,8,08:00~09:00,57.3725
114-2,星期一,9,09:00~10:00,68.10666666666667
114-2,星期一,10,10:00~11:00,77.69
114-2,星期一,11,11:00~12:00,90.376
114-2,星期一,12,12:00~13:00,86.03166666666665
114-2,星期一,13,13:00~14:00,71.27571428571429
114-2,星期一,14,14:00~15:00,93.42999999999999
114-2,星期一,15,15:00~16:00,103.59
114-2,星期一,16,16:00~17:00,108.43857142857142
114-2,星期一,17,17:00~18:00,116.6542857142857
114-2,星期一,18,18:00~19:00,83.49857142857142
114-2,星期一,19,19:00~20:00,66.00142857142858
114-2,星期一,20,20:00~21:00,61.90571428571429
114-2,星期一,21,21:00~22:00,40.138333333333335
114-2,星期一,22,22:00~23:00,10.434285714285716
114-2,星期一,23,23:00~24:00,7.365714285714286
114-2,星期二,0,00:00~01:00,7.847142857142857
114-2,星期二,1,01:00~02:00,7.667142857142857
114-2,星期二,2,02:00~03:00,8.205714285714285
114-2,星期二,3,03:00~04:00,7.727142857142857
114-2,星期二,4,04:00~05:00,8.245714285714286
114-2,星期二,5,05:00~06:00,11.734285714285715
114-2,星期二,6,06:00~07:00,8.935714285714287
114-2,星期二,7,07:00~08:00,7.305714285714286
114-2,星期二,8,08:00~09:00,24.826
114-2,星期二,9,09:00~10:00,61.496
114-2,星期二,10,10:00~11:00,61.943333333333335
114-2,星期二,11,11:00~12:00,81.065
114-2,星期二,12,12:00~13:00,77.48333333333333
114-2,星期二,13,13:00~14:00,81.32
114-2,星期二,14,14:00~15:00,88.755
114-2,星期二,15,15:00~16:00,95.36166666666666
114-2,星期二,16,16:00~17:00,84.77499999999999
114-2,星期二,17,17:00~18:00,104.99833333333333
114-2,星期二,18,18:00~19:00,82.72833333333334
114-2,星期二,19,19:00~20:00,51.660000000000004
114-2,星期二,20,20:00~21:00,57.413333333333334
114-2,星期二,21,21:00~22:00,34.87
114-2,星期二,22,22:00~23:00,10.413333333333332
114-2,星期二,23,23:00~24:00,6.701666666666667
114-2,星期三,0,00:00~01:00,7.09
114-2,星期三,1,01:00~02:00,7.488333333333333
114-2,星期三,2,02:00~03:00,7.588333333333332
114-2,星期三,3,03:00~04:00,8.818333333333333
114-2,星期三,4,04:00~05:00,8.205
114-2,星期三,5,05:00~06:00,13.123333333333333
114-2,星期三,6,06:00~07:00,10.423333333333334
114-2,星期三,7,07:00~08:00,7.923333333333335
114-2,星期三,8,08:00~09:00,37.164
114-2,星期三,9,09:00~10:00,53.485
